Adr=address Rd=Read data Wr=Write data we=write enable, re=read enable dsp=I/O display sw =I/O input switches cl=Clock
Adr=0000000000000110 Rd=0000000000000000 Wr=0000000000000101 we=0 re=0 dsp[xxxxxxx] sw[1,0] clk=0
Adr=0000000000000110 Rd=0000000000000000 Wr=0000000000000101 we=0 re=0 dsp[xxxxxxx] sw[1,0] clk=1
Adr=0000000000000110 Rd=0000000000000000 Wr=0000000000000101 we=0 re=0 dsp[xxxxxxx] sw[1,0] clk=0
Adr=0000000000000110 Rd=0000000000000000 Wr=0000000000000101 we=0 re=0 dsp[xxxxxxx] sw[1,0] clk=1
Adr=0000000000000110 Rd=xxxxxxxxxxxxxxxx Wr=0000000000000101 we=1 re=1 dsp[xxxxxxx] sw[1,0] clk=0
Adr=0000000000000110 Rd=0000000000000101 Wr=0000000000000101 we=1 re=1 dsp[xxxxxxx] sw[1,0] clk=1
Adr=0000000000000110 Rd=0000000000000101 Wr=0000000000000101 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=0
Adr=0000000000000110 Rd=0000000000000101 Wr=0000000000000101 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=1
Adr=0000000000000110 Rd=0000000000000000 Wr=0000000000000101 we=0 re=0 dsp[xxxxxxx] sw[1,0] clk=0
Adr=0000000000000110 Rd=0000000000000000 Wr=0000000000000101 we=0 re=0 dsp[xxxxxxx] sw[1,0] clk=1
Adr=0000000000000110 Rd=0000000000000000 Wr=0000000000001001 we=1 re=0 dsp[xxxxxxx] sw[1,0] clk=0
Adr=0000000000000110 Rd=0000000000000000 Wr=0000000000001001 we=1 re=0 dsp[xxxxxxx] sw[1,0] clk=1
Adr=0000000000000110 Rd=0000000000001001 Wr=0000000000001001 we=1 re=1 dsp[xxxxxxx] sw[1,0] clk=0
Adr=0000000000000110 Rd=0000000000001001 Wr=0000000000001001 we=1 re=1 dsp[xxxxxxx] sw[1,0] clk=1
Adr=0000000000000110 Rd=0000000000001001 Wr=0000000000001001 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=0
Adr=0000000000000110 Rd=0000000000001001 Wr=0000000000001001 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=1
Adr=0000000000000110 Rd=0000000000001001 Wr=0000000000001001 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=0
Adr=0000000000000110 Rd=0000000000001001 Wr=0000000000001001 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=1
Adr=0000000000010110 Rd=xxxxxxxxxxxxxxxx Wr=0000000000001000 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=0
Adr=0000000000010110 Rd=xxxxxxxxxxxxxxxx Wr=0000000000001000 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=1
Adr=0000000000010110 Rd=xxxxxxxxxxxxxxxx Wr=0000000000001000 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=0
Adr=0000000000010110 Rd=xxxxxxxxxxxxxxxx Wr=0000000000001000 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=1
Adr=0000000000010110 Rd=xxxxxxxxxxxxxxxx Wr=0000000000001000 we=1 re=1 dsp[xxxxxxx] sw[1,0] clk=0
Adr=0000000000010110 Rd=0000000000001000 Wr=0000000000001000 we=1 re=1 dsp[xxxxxxx] sw[1,0] clk=1
Adr=0000000000010110 Rd=0000000000001000 Wr=0000000000001000 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=0
Adr=0000000000010110 Rd=0000000000001000 Wr=0000000000001000 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=1
Adr=0000000000010110 Rd=0000000000001000 Wr=0000000000001000 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=0
Adr=0000000000010110 Rd=0000000000001000 Wr=0000000000001000 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=1
Adr=1111111111111010 Rd=0000000000000000 Wr=0000000000001110 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=0
Adr=1111111111111010 Rd=0000000000000000 Wr=0000000000001110 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=1
Adr=1111111111111010 Rd=0000000000000000 Wr=0000000000001110 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=0
Adr=1111111111111010 Rd=0000000000000000 Wr=0000000000001110 we=0 re=1 dsp[xxxxxxx] sw[1,0] clk=1
Adr=1111111111111010 Rd=0000000000000000 Wr=0000000000001110 we=1 re=1 dsp[xxxxxxx] sw[1,0] clk=0
Adr=1111111111111010 Rd=0000000000000000 Wr=0000000000001110 we=1 re=1 dsp[0001110] sw[1,0] clk=1
Adr=1111111111111010 Rd=0000000000000000 Wr=0000000000001110 we=0 re=1 dsp[0001110] sw[1,0] clk=0
Adr=1111111111111010 Rd=0000000000000000 Wr=0000000000001110 we=0 re=1 dsp[0001110] sw[1,0] clk=1
Adr=1111111111111010 Rd=0000000000000000 Wr=0000000000001110 we=0 re=1 dsp[0001110] sw[1,0] clk=0
Adr=1111111111111010 Rd=0000000000000000 Wr=0000000000001110 we=0 re=1 dsp[0001110] sw[1,0] clk=1
