implementation: pipelined_ring_bcast | chunksize: 100000 |  time: 0.408 seconds
implementation: pipelined_ring_bcast | chunksize: 500000 |  time: 0.227 seconds
implementation: pipelined_ring_bcast | chunksize: 1000000 |  time: 0.211 seconds
implementation: pipelined_ring_bcast | chunksize: 5000000 |  time: 0.250 seconds
implementation: pipelined_ring_bcast | chunksize: 10000000 |  time: 0.320 seconds
implementation: pipelined_ring_bcast | chunksize: 50000000 |  time: 0.896 seconds
implementation: pipelined_ring_bcast | chunksize: 100000000 |  time: 1.619 seconds
implementation: pipelined_ring_bcast | chunksize: 100000 |  time: 0.416 seconds
implementation: pipelined_ring_bcast | chunksize: 500000 |  time: 0.236 seconds
implementation: pipelined_ring_bcast | chunksize: 1000000 |  time: 0.226 seconds
implementation: pipelined_ring_bcast | chunksize: 5000000 |  time: 0.316 seconds
implementation: pipelined_ring_bcast | chunksize: 10000000 |  time: 0.450 seconds
implementation: pipelined_ring_bcast | chunksize: 50000000 |  time: 1.537 seconds
implementation: pipelined_ring_bcast | chunksize: 100000000 |  time: 2.897 seconds
implementation: pipelined_ring_bcast | chunksize: 100000 |  time: 0.429 seconds
implementation: pipelined_ring_bcast | chunksize: 500000 |  time: 0.249 seconds
implementation: pipelined_ring_bcast | chunksize: 1000000 |  time: 0.241 seconds
implementation: pipelined_ring_bcast | chunksize: 5000000 |  time: 0.383 seconds
implementation: pipelined_ring_bcast | chunksize: 10000000 |  time: 0.580 seconds
implementation: pipelined_ring_bcast | chunksize: 50000000 |  time: 2.177 seconds
implementation: pipelined_ring_bcast | chunksize: 100000000 |  time: 4.175 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 100000 |  time: 0.228 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 500000 |  time: 0.141 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 1000000 |  time: 0.145 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 5000000 |  time: 0.299 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 10000000 |  time: 0.501 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 50000000 |  time: 2.133 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 100000000 |  time: 4.174 seconds
